api_name,type,url,time elapsed(milliseconds),size(kb),response
facebook n google login and signup with profile save,POST,http://localhost:8000/api/v1/fb_profile_settings/,81.498,186.125,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,47.437,211.375,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,46.14,208.75,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,45.394,210.125,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,44.262,210.375,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,60.019,190.625,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,44.352,191.25,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,43.528,190.0,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,157.853,191.125,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,63.993,204.0,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,51.73,222.625,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,45.733,198.5,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,45.595,207.375,200
to get the token for user,POST,http://localhost:8000/api/v1/user/user_data/,47.031,215.375,200
For Creating Video Bytes,POST,http://localhost:8000/api/v1/create_topic,201.118,386.625,201
For Creating Video Bytes,POST,http://localhost:8000/api/v1/create_topic,213.352,391.25,201
For Creating Video Bytes,POST,http://localhost:8000/api/v1/create_topic,272.914,401.25,201
For Creating Video Bytes,POST,http://localhost:8000/api/v1/create_topic,158.826,397.75,201
For Creating Video Bytes,POST,http://localhost:8000/api/v1/create_topic,196.354,336.75,201
For creating comment,POST,http://localhost:8000/api/v1/reply_on_topic,23.243,179.375,201
For creating comment,POST,http://localhost:8000/api/v1/reply_on_topic,23.136,177.5,201
For creating comment,POST,http://localhost:8000/api/v1/reply_on_topic,23.4,178.5,201
For creating comment,POST,http://localhost:8000/api/v1/reply_on_topic,23.166,178.5,201
For creating comment,POST,http://localhost:8000/api/v1/reply_on_topic,23.626,159.5,201
to follow user,POST,http://localhost:8000/api/v1/follow_user/,37.551,2.875,200
to follow user,POST,http://localhost:8000/api/v1/follow_user/,40.072,2.875,200
to follow user,POST,http://localhost:8000/api/v1/follow_user/,36.095,3.125,200
to like and dislike a post and a comment,POST,http://localhost:8000/api/v1/like/,34.324,2.5,200
to like and dislike a post and a comment,POST,http://localhost:8000/api/v1/like/,36.119,2.5,200
dump user stats,POST,http://localhost:8000/api/v1/sync/dump/,20.519,2.75,200
to save the android logs,POST,http://localhost:8000/api/v1/save_android_logs/,25.1,2.75,200
to register device for firebase,POST,http://localhost:8000/api/v1/register_device/,20.543,2.625,200
to register device for firebase,POST,http://localhost:8000/api/v1/register_device/,20.079,2.625,200
to unregister device from firebase,POST,http://localhost:8000/api/v1/unregister_device/,18.102,2.625,200
to unregister device from firebase,POST,http://localhost:8000/api/v1/unregister_device/,19.976,8.125,200
when a user seen a video,POST,http://localhost:8000/api/v1/vb_seen/,33.331,2.75,200
topic view when user seen a comment,GET,http://localhost:8000/api/v1/comment_view/?topic_id=22750,34.395,3.25,200
topic view when user seen a comment,GET,http://localhost:8000/api/v1/comment_view/?topic_id=22748,34.046,3.25,200
to delete the comment if owner of comment,POST,http://localhost:8000/api/v1/reply_delete/,23.981,0.0,204
edit topic,POST,http://localhost:8000/api/v1/editTopic/,19.089,4.375,400
edit topic,POST,http://localhost:8000/api/v1/editTopic/,25.111,4.375,400
edit topic,POST,http://localhost:8000/api/v1/editTopic/,21.943,4.375,400
edit topic,POST,http://localhost:8000/api/v1/editTopic/,20.008,565.25,201
edit comment,POST,http://localhost:8000/api/v1/editComment/,23.655,4.375,400
edit comment,POST,http://localhost:8000/api/v1/editComment/,18.839,4.375,400
edit comment,POST,http://localhost:8000/api/v1/editComment/,21.215,4.375,400
edit comment,POST,http://localhost:8000/api/v1/editComment/,20.08,4.375,400
edit comment,POST,http://localhost:8000/api/v1/editComment/,20.562,179.75,201
edit comment,POST,http://localhost:8000/api/v1/editComment/,20.6,4.375,400
To save the basic info in kYC,POST,http://localhost:8000/api/v1/save_kyc_basic_info/,35.465,12.0,400
To save kyc document,POST,http://localhost:8000/api/v1/save_kyc_documents/,15.542,7.625,400
to save the kyc selfie,POST,http://localhost:8000/api/v1/save_kyc_selfie/,33.764,4.5,200
to save the addinnal info of kyc,POST,http://localhost:8000/api/v1/save_kyc_additional_info/,28.939,4.5,200
to save the additinal info in kyc,POST,http://localhost:8000/api/v1/save_bank_details_info/,33.108,4.125,200
to save the additinal info in kyc,POST,http://localhost:8000/api/v1/save_bank_details_info/,33.952,3.875,200
facebook n google login and signup with profile save,POST,http://localhost:8000/api/v1/fb_profile_settings/,51.307,5.125,400
