Month-Year,Language,Count
Oct2019,Telugu,205
Nov2019,English,6036
Nov2019,Tamil,901
Oct2019,Hindi,2202
Dec2019,Hindi,7544
Jan2020,English,7408
Oct2019,Tamil,34
Nov2019,Gujarati,414
Oct2019,Gujarati,47
Nov2019,Malayalam,0
Dec2019,Gujarati,111
Dec2019,Malayalam,107
Dec2019,Tamil,335
Nov2019,Hindi,6966
Jan2020,Kannada,417
Nov2019,Telugu,1335
Jan2020,Tamil,243
Dec2019,English,4813
Oct2019,Marathi,2
Jan2020,Marathi,57
Nov2019,Bengali,326
Oct2019,English,1779
Dec2019,Kannada,109
Jan2020,Telugu,423
Nov2019,Kannada,2
Oct2019,Kannada,28
Dec2019,Marathi,80
Oct2019,Bengali,17
Dec2019,Telugu,441
Jan2020,Hindi,10669
Dec2019,Bengali,437
Jan2020,Gujarati,363
Jan2020,Malayalam,49
Jan2020,Bengali,283
