Month-Year,Language,Count
Oct2019,Telugu,26409
Nov2019,English,9746
Oct2019,Hindi,129931
Sept2019,English,10654
Dec2019,Hindi,75735
Jan2020,English,8873
Oct2019,Tamil,2301
Nov2019,Tamil,1036
Dec2019,Gujarati,4171
Dec2019,Malayalam,250
Dec2019,Tamil,3105
Nov2019,Hindi,42638
Jan2020,Kannada,271
Nov2019,Telugu,9495
Jan2020,Tamil,621
Dec2019,English,52432
Sept2019,Tamil,283
Jan2020,Marathi,55
Oct2019,English,82842
Sept2019,Hindi,14491
Dec2019,Kannada,2263
Jan2020,Telugu,870
Jan2020,Hindi,12032
Sept2019,Telugu,1563
Dec2019,Marathi,94
Dec2019,Telugu,6623
Dec2019,Bengali,920
Jan2020,Gujarati,853
Jan2020,Malayalam,73
Jan2020,Bengali,680
